지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
11110, 사직동,2016,1,1~10,광화문풍림스페이스본(101동~105동),2008,14,107.91,"    83,000"
11110, 사직동,2016,1,1~10,광화문풍림스페이스본(101동~105동),2008,10,151.81,"   119,000"
11110, 사직동,2016,1,11~20,광화문풍림스페이스본(101동~105동),2008,2,94.51,"    84,500"
11110, 사직동,2016,1,11~20,광화문풍림스페이스본(101동~105동),2008,12,94.28,"    80,000"
11110, 내수동,2016,1,1~10,경희궁의아침4단지,2004,13,145.96,"   121,000"
11110, 내수동,2016,1,1~10,경희궁의아침2단지,2004,3,140.78,"   105,000"
11110, 익선동,2016,1,11~20,현대뜨레비앙,2003,9,48.54,"    30,000"
11110, 익선동,2016,1,11~20,현대뜨레비앙,2003,7,48.54,"    26,100"
11110, 익선동,2016,1,21~31,현대뜨레비앙,2003,7,58.78,"    41,000"
11110, 인의동,2016,1,21~31,효성쥬얼리시티,2006,14,84.7,"    47,800"
11110, 통인동,2016,2,21~29,효자,1999,4,61.49,"    22,000"
11110, 사직동,2016,2,21~29,광화문풍림스페이스본(101동~105동),2008,11,94.51,"    82,500"
11110, 사직동,2016,2,21~29,광화문풍림스페이스본(101동~105동),2008,7,151.81,"   107,000"
11110, 사직동,2016,2,21~29,광화문풍림스페이스본(101동~105동),2008,2,158.99,"    99,500"
11110, 사직동,2016,2,21~29,광화문풍림스페이스본(101동~105동),2008,8,94.51,"    83,800"
11110, 익선동,2016,2,11~20,현대뜨레비앙,2003,6,43.98,"    23,000"
11110, 익선동,2016,2,11~20,현대뜨레비앙,2003,3,48.54,"    27,000"
11110, 익선동,2016,2,21~29,현대뜨레비앙,2003,2,46.64,"    25,400"
11110, 명륜1가,2016,2,1~10,아마레스,2002,1,84.59,"    49,500"
11110, 명륜2가,2016,2,1~10,아남1,1995,7,84.9,"    63,000"
11110, 필운동,2016,3,11~20,신동아블루아광화문의 꿈,2007,11,138.66,"    92,500"
11110, 사직동,2016,3,11~20,광화문풍림스페이스본(106동),2008,3,150.4,"   104,000"
11110, 사직동,2016,3,11~20,광화문풍림스페이스본(101동~105동),2008,9,94.51,"    83,500"
11110, 내수동,2016,3,1~10,경희궁의아침4단지,2004,11,124.17,"   110,000"
11110, 내수동,2016,3,1~10,세종로대우,1994,14,109.91,"    70,000"
11110, 내수동,2016,3,1~10,경희궁 파크팰리스,2003,5,146.33,"   123,000"
11110, 익선동,2016,3,1~10,운현신화타워,1998,6,84.87,"    44,500"
11110, 익선동,2016,3,1~10,현대뜨레비앙,2003,7,36.08,"    21,500"
11110, 익선동,2016,3,11~20,운현신화타워,1998,12,62.55,"    32,000"
11110, 익선동,2016,3,11~20,현대뜨레비앙,2003,6,43.98,"    23,000"
11110, 사직동,2016,4,1~10,광화문풍림스페이스본(101동~105동),2008,11,146.92,"   112,200"
11110, 사직동,2016,4,1~10,광화문풍림스페이스본(101동~105동),2008,11,146.92,"   112,200"
11110, 사직동,2016,4,11~20,광화문풍림스페이스본(101동~105동),2008,8,108.07,"    86,500"
11110, 사직동,2016,4,21~30,광화문풍림스페이스본(101동~105동),2008,3,121.37,"    85,000"
11110, 사직동,2016,4,21~30,광화문풍림스페이스본(101동~105동),2008,5,95.88,"    80,000"
11110, 내수동,2016,4,11~20,경희궁의아침4단지,2004,10,124.17,"   110,000"
11110, 내수동,2016,4,21~30,경희궁 파크팰리스,2003,12,148.09,"   101,000"
11110, 내수동,2016,4,21~30,경희궁의아침3단지,2004,15,174.55,"   147,000"
11110, 익선동,2016,4,11~20,현대뜨레비앙,2003,7,48.54,"    22,500"
11110, 연건동,2016,4,21~30,이화에수풀,2014,7,19.86,"    17,800"
11110, 사직동,2016,5,11~20,광화문풍림스페이스본(106동),2008,8,153.42,"   115,000"
11110, 사직동,2016,5,11~20,광화문풍림스페이스본(101동~105동),2008,4,136.4,"   107,000"
11110, 사직동,2016,5,11~20,광화문풍림스페이스본(101동~105동),2008,1,108.07,"    88,000"
11110, 사직동,2016,5,11~20,광화문풍림스페이스본(101동~105동),2008,7,94.51,"    84,000"
11110, 사직동,2016,5,21~31,광화문풍림스페이스본(101동~105동),2008,13,70.8,"    69,000"
11110, 사직동,2016,5,21~31,광화문풍림스페이스본(106동),2008,3,163.33,"   102,000"
11110, 사직동,2016,5,21~31,광화문풍림스페이스본(106동),2008,11,144.52,"   108,000"
11110, 당주동,2016,5,11~20,세종,1983,2,91.68,"    43,000"
11110, 내수동,2016,5,1~10,경희궁의아침2단지,2004,7,174.55,"   132,500"
11110, 내수동,2016,5,11~20,경희궁의아침2단지,2004,14,174.55,"   158,000"
11110, 사직동,2016,6,1~10,광화문풍림스페이스본(101동~105동),2008,12,94.51,"    88,000"
11110, 사직동,2016,6,1~10,광화문풍림스페이스본(101동~105동),2008,14,136.4,"   115,000"
11110, 사직동,2016,6,11~20,광화문풍림스페이스본(101동~105동),2008,13,70.8,"    75,000"
11110, 내수동,2016,6,1~10,경희궁의아침3단지,2004,4,174.55,"   130,000"
