,지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
3,11140, 회현동1가,2014,10,11~20,남산 SK LEADERS VIEW,2010,18,205.62,"   150,000"
4,11140, 회현동1가,2014,10,11~20,남산 SK LEADERS VIEW,2010,17,205.62,"   148,000"
5,11140, 충무로4가,2014,10,11~20,진양상가,1970,10,101.19,"    36,000"
6,11140, 충무로4가,2014,10,21~31,진양상가,1970,16,71.93,"    27,000"
7,11140, 인현동2가,2014,10,1~10,신성상가,1968,8,41.62,"    15,600"
8,11140, 묵정동,2014,10,21~31,묵정,1981,3,52.46,"    24,000"
9,11140, 신당동,2014,10,1~10,남산타운,2002,2,84.88,"    48,000"
0,11140, 남창동,2014,11,11~20,경서,1970,3,56.11,"    26,200"
1,11140, 회현동1가,2014,11,1~10,남산 롯데캐슬 아이리스,2011,17,187.08,"   137,000"
2,11140, 충무로4가,2014,11,1~10,진양상가,1970,16,95.8,"    38,000"
3,11140, 충무로4가,2014,11,11~20,남산센트럴 자이,2009,9,82.413,"    54,000"
4,11140, 충무로4가,2014,11,21~30,남산센트럴 자이,2009,18,80.473,"    57,000"
5,11140, 인현동2가,2014,11,11~20,신성상가,1968,7,50.58,"    16,500"
6,11140, 신당동,2014,11,1~10,현대,1993,3,122.275,"    42,000"
7,11140, 신당동,2014,11,1~10,약수하이츠,1999,13,57.63,"    34,000"
8,11140, 신당동,2014,11,1~10,현대,1993,12,139.275,"    50,000"
9,11140, 신당동,2014,11,1~10,청구e편한세상,2011,7,59.88,"    55,000"
0,11140, 회현동1가,2014,12,1~10,남산 SK LEADERS VIEW,2010,22,205.62,"   150,500"
1,11140, 회현동1가,2014,12,1~10,삼풍,1975,6,98.53,"    36,000"
2,11140, 충무로4가,2014,12,1~10,진양상가,1970,6,107.9,"    56,000"
3,11140, 충무로4가,2014,12,1~10,진양상가,1970,12,71.93,"    27,750"
4,11140, 인현동2가,2014,12,1~10,신성상가,1968,6,43.7,"    16,600"
5,11140, 묵정동,2014,12,1~10,묵정,1981,2,52.46,"    24,000"
6,11140, 묵정동,2014,12,21~31,충무,1982,2,54.18,"    25,000"
7,11140, 을지로5가,2014,12,11~20,삼성파크빌(39-1),2006,11,84.85,"    40,200"
8,11140, 신당동,2014,12,1~10,신당푸르지오,2005,1,84.76,"    42,000"
9,11140, 신당동,2014,12,1~10,약수하이츠,1999,8,65.37,"    39,900"
0,11140, 회현동1가,2015,1,1~10,삼풍,1975,3,71.41,"    24,800"
